Популярные страницы,Kлики,Показы,CTR,Позиция
https://docta.me/clinics/68,1,437,0.23%,9.57
https://docta.me/clinics/5?lang=sr-cyrl,1,369,0.27%,11.06
https://docta.me/clinics/71?lang=ru,1,291,0.34%,8.67
https://docta.me/clinics/67?lang=en,1,151,0.66%,10.44
https://docta.me/clinics/5?lang=en,1,142,0.7%,11.17
https://docta.me/clinics/70,1,132,0.76%,8.92
https://docta.me/clinics/27?lang=sr-cyrl,1,120,0.83%,8.53
https://docta.me/doctors?clinicIds=3&lang=sr-cyrl,1,110,0.91%,8.82
https://docta.me/doctors?specialtyIds=51&cityIds=1&lang=en,1,103,0.97%,5.81
https://docta.me/clinics/69,1,102,0.98%,8.63
https://docta.me/clinics/78?lang=en,1,101,0.99%,10.52
https://docta.me/clinics/46,1,100,1%,10.24
https://docta.me/clinics/10,1,99,1.01%,14.7
https://docta.me/doctors,1,86,1.16%,11.09
https://docta.me/doctors?specialtyIds=30&cityIds=1,1,78,1.28%,9.03
https://docta.me/doctors?specialtyIds=17&lang=sr-cyrl,1,78,1.28%,13.85
https://docta.me/doctors?clinicIds=49,1,77,1.3%,9.49
https://docta.me/doctors?clinicIds=9,1,76,1.32%,12.39
https://docta.me/doctors?specialtyIds=3&languageIds=3&cityIds=1,1,75,1.33%,11.32
https://docta.me/clinics/1?lang=sr-cyrl,1,75,1.33%,11.48
https://docta.me/doctors?specialtyIds=5&languageIds=3&cityIds=1,1,70,1.43%,11.44
https://docta.me/clinics/90,1,68,1.47%,7.54
https://docta.me/doctors?specialtyIds=12&lang=sr-cyrl,1,68,1.47%,9.49
https://docta.me/doctors?clinicIds=59,1,66,1.52%,13.41
https://docta.me/doctors?specialtyIds=8&cityIds=1&lang=en,1,65,1.54%,11.08
https://docta.me/doctors?clinicIds=2&lang=sr-cyrl,1,64,1.56%,8.89
https://docta.me/doctors?specialtyIds=78&cityIds=3&lang=en,1,60,1.67%,8.18
https://docta.me/doctors?specialtyIds=2&languageIds=1&cityIds=1,1,58,1.72%,9.28
https://docta.me/doctors?clinicIds=29,1,57,1.75%,8.28
https://docta.me/doctors?specialtyIds=6&languageIds=1&cityIds=1,1,57,1.75%,9.79
https://docta.me/doctors?specialtyIds=12&languageIds=1,1,55,1.82%,12.76
https://docta.me/doctors?specialtyIds=7&languageIds=1,1,54,1.85%,10.65
https://docta.me/clinics/27,1,53,1.89%,8.49
https://docta.me/doctors?specialtyIds=15&cityIds=1,1,53,1.89%,9
https://docta.me/clinics/12,1,52,1.92%,9.98
https://docta.me/clinics/12?lang=tr,1,52,1.92%,11.27
https://docta.me/doctors?specialtyIds=10&cityIds=2,1,52,1.92%,12.31
https://docta.me/doctors?specialtyIds=7&lang=en,1,51,1.96%,7.08
https://docta.me/doctors?specialtyIds=4,1,50,2%,17.96
https://docta.me/doctors?specialtyIds=5&cityIds=7&lang=en,1,49,2.04%,8.53
https://docta.me/doctors?specialtyIds=51,1,49,2.04%,15.88
https://docta.me/doctors/768,1,48,2.08%,8.15
https://docta.me/doctors/348?lang=sr-cyrl,1,48,2.08%,8.54
https://docta.me/doctors/348?lang=en,1,45,2.22%,7.13
https://docta.me/doctors/443?lang=en,1,44,2.27%,6.86
https://docta.me/doctors?specialtyIds=17&languageIds=1,1,44,2.27%,8.77
https://docta.me/clinics/83?lang=sr-cyrl,1,44,2.27%,9.55
https://docta.me/doctors?specialtyIds=21&cityIds=3,1,44,2.27%,20.05
https://docta.me/doctors?specialtyIds=74&cityIds=1,1,43,2.33%,11.07
https://docta.me/doctors?specialtyIds=11&lang=sr-cyrl,1,43,2.33%,15.16
https://docta.me/doctors?specialtyIds=7&cityIds=6,1,42,2.38%,8.67
https://docta.me/clinics/1?lang=ru,1,42,2.38%,8.83
https://docta.me/doctors?specialtyIds=9&languageIds=1&cityIds=1,1,41,2.44%,9.59
https://docta.me/doctors/80,1,40,2.5%,6.47
https://docta.me/clinics/69?lang=sr-cyrl,1,40,2.5%,8.7
https://docta.me/doctors?clinicIds=35,1,39,2.56%,8.9
https://docta.me/clinics/66?lang=sr-cyrl,1,39,2.56%,13.36
https://docta.me/doctors?specialtyIds=7&languageIds=2,1,38,2.63%,7.39
https://docta.me/clinics/72,1,38,2.63%,9.79
https://docta.me/doctors?specialtyIds=6,1,37,2.7%,11.49
https://docta.me/doctors?specialtyIds=10&cityIds=7,1,37,2.7%,14.11
https://docta.me/doctors?clinicIds=67,1,36,2.78%,7.64
https://docta.me/doctors?specialtyIds=8&cityIds=1&lang=sr-cyrl,1,36,2.78%,9.08
https://docta.me/doctors?clinicIds=40,1,36,2.78%,10.78
https://docta.me/doctors?specialtyIds=5&cityIds=3&lang=sr-cyrl,1,36,2.78%,13.19
https://docta.me/doctors?specialtyIds=11&cityIds=7,1,35,2.86%,7.77
https://docta.me/doctors?specialtyIds=78&lang=ru,1,35,2.86%,8.26
https://docta.me/doctors?specialtyIds=1&languageIds=1&cityIds=6,1,35,2.86%,8.31
https://docta.me/doctors?specialtyIds=81,1,35,2.86%,8.8
https://docta.me/doctors?clinicIds=4,1,35,2.86%,9.46
https://docta.me/doctors?specialtyIds=46&cityIds=1&lang=sr-cyrl,1,35,2.86%,13.23
https://docta.me/doctors?clinicIds=57,1,34,2.94%,8.24
https://docta.me/doctors?specialtyIds=15&languageIds=1&cityIds=1,1,34,2.94%,11.06
https://docta.me/doctors?clinicIds=48,1,34,2.94%,12.26
https://docta.me/doctors?specialtyIds=7&languageIds=1&cityIds=1&lang=en,1,33,3.03%,6.73
https://docta.me/doctors?clinicIds=12&lang=en,1,33,3.03%,7.3
https://docta.me/doctors/674,1,33,3.03%,7.88
https://docta.me/doctors?clinicIds=48&lang=en,1,33,3.03%,8.09
https://docta.me/doctors?specialtyIds=7&languageIds=2&cityIds=1,1,33,3.03%,11.09
https://docta.me/doctors?specialtyIds=3&lang=sr-cyrl,1,33,3.03%,17.42
https://docta.me/doctors?specialtyIds=78&cityIds=1&lang=sr-cyrl,1,33,3.03%,17.45
https://docta.me/doctors?specialtyIds=77,1,32,3.12%,9.03
https://docta.me/doctors?specialtyIds=2&cityIds=2,1,32,3.12%,10.12
https://docta.me/doctors?specialtyIds=2&languageIds=1&cityIds=6,1,32,3.12%,10.22
https://docta.me/doctors?specialtyIds=1&cityIds=3&lang=sr-cyrl,1,32,3.12%,13.62
https://docta.me/doctors?specialtyIds=6&cityIds=3,1,31,3.23%,7
https://docta.me/doctors?clinicIds=5&lang=sr-cyrl,1,31,3.23%,9.1
https://docta.me/doctors?languageIds=1&cityIds=6,1,31,3.23%,9.1
https://docta.me/clinics/82?lang=ru,1,31,3.23%,9.16
https://docta.me/doctors/791?lang=sr-cyrl,1,31,3.23%,9.23
https://docta.me/doctors?specialtyIds=13&languageIds=3,1,31,3.23%,10.77
https://docta.me/doctors?specialtyIds=5&languageIds=1&cityIds=1&lang=sr-cyrl,1,31,3.23%,12.9
https://docta.me/clinics/45?lang=en,1,30,3.33%,7.6
https://docta.me/clinics/46?lang=en,1,30,3.33%,8.93
https://docta.me/clinics/40,1,30,3.33%,9.03
https://docta.me/doctors/274?lang=sr-cyrl,1,30,3.33%,9.13
https://docta.me/doctors?specialtyIds=13&cityIds=3,1,30,3.33%,9.77
https://docta.me/labtests?lang=en,1,30,3.33%,9.77
https://docta.me/doctors?specialtyIds=13&cityIds=7,1,30,3.33%,10.57
https://docta.me/doctors?clinicIds=58,1,30,3.33%,10.8
https://docta.me/doctors?specialtyIds=42&cityIds=1,1,30,3.33%,13.53
https://docta.me/doctors?clinicIds=65&lang=sr-cyrl,1,29,3.45%,8.07
https://docta.me/doctors?specialtyIds=77&cityIds=1,1,29,3.45%,8.41
https://docta.me/doctors?specialtyIds=45,1,29,3.45%,10.17
https://docta.me/doctors?specialtyIds=12&cityIds=3,1,29,3.45%,13
https://docta.me/doctors?specialtyIds=8&cityIds=2,1,29,3.45%,14.66
https://docta.me/doctors?specialtyIds=16&cityIds=7,1,29,3.45%,16.14
https://docta.me/doctors?specialtyIds=45&cityIds=6,1,28,3.57%,9.21
https://docta.me/doctors/675?lang=sr-cyrl,1,28,3.57%,9.61
https://docta.me/doctors?specialtyIds=11&cityIds=8&lang=en,1,28,3.57%,9.96
https://docta.me/doctors?clinicIds=8,1,28,3.57%,10.5
https://docta.me/doctors?specialtyIds=8&languageIds=1,1,28,3.57%,10.68
https://docta.me/doctors?clinicIds=9&lang=en,1,28,3.57%,11.18
https://docta.me/doctors/752?lang=sr-cyrl,1,28,3.57%,12.75
https://docta.me/doctors/766?lang=sr-cyrl,1,27,3.7%,5.04
https://docta.me/labtests?clinicIds=67,1,27,3.7%,9.41
https://docta.me/doctors?specialtyIds=8&cityIds=3,1,27,3.7%,10.33
https://docta.me/doctors?specialtyIds=5&languageIds=1&cityIds=6&lang=sr-cyrl,1,27,3.7%,13.11
https://docta.me/doctors?specialtyIds=27&cityIds=1,1,26,3.85%,6.46
https://docta.me/doctors?specialtyIds=7&cityIds=2&lang=sr-cyrl,1,26,3.85%,6.69
https://docta.me/doctors?specialtyIds=75&cityIds=1&lang=en,1,26,3.85%,7.23
https://docta.me/doctors?specialtyIds=21&cityIds=1&lang=en,1,26,3.85%,8.04
https://docta.me/doctors?specialtyIds=78&languageIds=1&lang=ru,1,26,3.85%,11.23
https://docta.me/doctors?specialtyIds=12&languageIds=2,1,26,3.85%,11.62
https://docta.me/doctors?specialtyIds=9&lang=en,1,26,3.85%,12.88
https://docta.me/doctors?specialtyIds=22&languageIds=3&cityIds=1&lang=en,1,25,4%,5.08
https://docta.me/clinics/38,1,25,4%,6.88
https://docta.me/doctors?specialtyIds=5&languageIds=1&lang=en,1,25,4%,9.84
https://docta.me/doctors?specialtyIds=2&cityIds=4,1,25,4%,10.08
https://docta.me/doctors?clinicIds=7&lang=sr-cyrl,1,25,4%,10.44
https://docta.me/doctors/66,1,25,4%,13.16
https://docta.me/doctors/545?lang=sr-cyrl,1,24,4.17%,4.38
https://docta.me/doctors?specialtyIds=23,1,24,4.17%,6.42
https://docta.me/clinics/79,1,24,4.17%,6.58
https://docta.me/doctors?specialtyIds=21&languageIds=1&cityIds=1&lang=sr-cyrl,1,24,4.17%,6.79
https://docta.me/doctors?clinicIds=64&lang=sr-cyrl,1,24,4.17%,7.54
https://docta.me/clinics/89?lang=sr-cyrl,1,24,4.17%,8.54
https://docta.me/doctors?specialtyIds=11&languageIds=2&cityIds=7,1,24,4.17%,10.04
https://docta.me/doctors?specialtyIds=2&languageIds=2&cityIds=1,1,24,4.17%,16.54
https://docta.me/doctors?specialtyIds=3&languageIds=2,1,24,4.17%,17.33
https://docta.me/doctors?specialtyIds=18&languageIds=2&cityIds=1,1,24,4.17%,18.12
https://docta.me/doctors?specialtyIds=80&cityIds=1,1,23,4.35%,7.09
https://docta.me/doctors?specialtyIds=13&languageIds=1&cityIds=3,1,23,4.35%,9.65
https://docta.me/doctors?specialtyIds=6&languageIds=3&cityIds=1,1,23,4.35%,9.91
https://docta.me/doctors/267,1,23,4.35%,11.17
https://docta.me/doctors?specialtyIds=51&languageIds=3&cityIds=1&lang=en,1,22,4.55%,4.55
https://docta.me/doctors?specialtyIds=81&languageIds=1&cityIds=1,1,22,4.55%,8.05
https://docta.me/doctors?specialtyIds=39&cityIds=1,1,22,4.55%,9.5
https://docta.me/doctors?specialtyIds=47&lang=sr-cyrl,1,22,4.55%,9.59
https://docta.me/doctors/852,1,22,4.55%,10.27
https://docta.me/doctors/104,1,22,4.55%,10.55
https://docta.me/clinics/32?lang=sr-cyrl,1,22,4.55%,13.82
https://docta.me/doctors?specialtyIds=21&lang=en,1,21,4.76%,5.71
https://docta.me/doctors?specialtyIds=7&languageIds=1&cityIds=2,1,21,4.76%,7.43
https://docta.me/doctors?specialtyIds=7&cityIds=3&lang=sr-cyrl,1,21,4.76%,7.57
https://docta.me/doctors/729,1,21,4.76%,7.76
https://docta.me/doctors?specialtyIds=16&languageIds=1&cityIds=2,1,21,4.76%,7.95
https://docta.me/doctors/675,1,21,4.76%,8.62
https://docta.me/doctors?specialtyIds=3&cityIds=4,1,21,4.76%,8.67
https://docta.me/doctors?specialtyIds=22&languageIds=1,1,21,4.76%,9.05
https://docta.me/doctors?specialtyIds=48&languageIds=1,1,21,4.76%,9.38
https://docta.me/doctors?specialtyIds=47&cityIds=1&lang=tr,1,21,4.76%,10.29
https://docta.me/doctors?specialtyIds=21&languageIds=3&cityIds=1,1,21,4.76%,10.9
https://docta.me/doctors?specialtyIds=13&languageIds=1&cityIds=7,1,21,4.76%,11.67
https://docta.me/clinics/77,1,21,4.76%,12.38
https://docta.me/doctors?specialtyIds=81&cityIds=3,1,21,4.76%,12.67
https://docta.me/doctors?specialtyIds=71&cityIds=1&lang=sr-cyrl,1,21,4.76%,13.81
https://docta.me/doctors?specialtyIds=5&lang=sr-cyrl,1,21,4.76%,14.14
https://docta.me/doctors?specialtyIds=16&languageIds=1&cityIds=7,1,21,4.76%,20.81
https://docta.me/clinics/36?lang=en,1,20,5%,6.65
https://docta.me/doctors/224,1,20,5%,6.75
https://docta.me/doctors/312?lang=sr-cyrl,1,20,5%,7.65
https://docta.me/clinics/25?lang=sr-cyrl,1,20,5%,8.15
https://docta.me/doctors?specialtyIds=1&cityIds=7&lang=sr-cyrl,1,20,5%,8.2
https://docta.me/doctors?clinicIds=68&lang=tr,1,20,5%,9.05
https://docta.me/doctors?specialtyIds=13&languageIds=2,1,20,5%,9.55
https://docta.me/doctors?specialtyIds=9&languageIds=2&cityIds=1,1,20,5%,9.85
https://docta.me/doctors?specialtyIds=78&languageIds=3&lang=ru,1,20,5%,11.6
https://docta.me/clinics/78?lang=de,1,20,5%,12.15
https://docta.me/doctors?specialtyIds=76&languageIds=1&cityIds=1&lang=en,1,20,5%,15.35
https://docta.me/doctors?specialtyIds=86&languageIds=2&cityIds=1,1,19,5.26%,7.47
https://docta.me/doctors/852?lang=sr-cyrl,1,19,5.26%,7.68
https://docta.me/doctors?clinicIds=3&lang=tr,1,19,5.26%,8
https://docta.me/doctors?specialtyIds=9&cityIds=7&lang=sr-cyrl,1,19,5.26%,8.37
https://docta.me/doctors/869?lang=en,1,19,5.26%,8.63
https://docta.me/doctors?specialtyIds=4&lang=sr-cyrl,1,19,5.26%,8.63
https://docta.me/doctors?clinicIds=49&lang=en,1,19,5.26%,9.63
https://docta.me/doctors?specialtyIds=24&languageIds=1&cityIds=1,1,19,5.26%,10
https://docta.me/doctors?languageIds=3&cityIds=1,1,19,5.26%,13.58
https://docta.me/clinics/64?lang=sr-cyrl,1,19,5.26%,13.95
https://docta.me/doctors?specialtyIds=75&cityIds=6,1,19,5.26%,14
https://docta.me/doctors?specialtyIds=22&cityIds=1&lang=sr-cyrl,1,19,5.26%,15.32
https://docta.me/doctors/766?lang=en,1,18,5.56%,4.83
https://docta.me/doctors/939,1,18,5.56%,5.39
https://docta.me/doctors/224?lang=sr-cyrl,1,18,5.56%,6.33
https://docta.me/doctors?cityIds=4&lang=sr-cyrl,1,18,5.56%,6.56
https://docta.me/doctors/356?lang=en,1,18,5.56%,6.78
https://docta.me/doctors?specialtyIds=36&cityIds=2,1,18,5.56%,7
https://docta.me/doctors?specialtyIds=50&cityIds=1,1,18,5.56%,7
https://docta.me/doctors?specialtyIds=52&lang=sr-cyrl,1,18,5.56%,7.67
https://docta.me/doctors/209?lang=sr-cyrl,1,18,5.56%,7.89
https://docta.me/clinics/23,1,18,5.56%,8.44
https://docta.me/doctors?specialtyIds=80&languageIds=1&cityIds=1,1,18,5.56%,8.67
https://docta.me/doctors?specialtyIds=7&cityIds=7,1,18,5.56%,8.78
https://docta.me/doctors?specialtyIds=14&cityIds=3,1,18,5.56%,9.28
https://docta.me/doctors?specialtyIds=45&lang=de,1,18,5.56%,10.78
https://docta.me/doctors?specialtyIds=10&languageIds=2&cityIds=1,1,18,5.56%,11.44
https://docta.me/doctors?specialtyIds=47&cityIds=1&lang=en,1,18,5.56%,11.5
https://docta.me/doctors?specialtyIds=50&cityIds=1&lang=sr-cyrl,1,18,5.56%,13.72
https://docta.me/labtests?clinicIds=48&lang=en,1,18,5.56%,16.94
https://docta.me/doctors?specialtyIds=17&cityIds=1&lang=tr,1,18,5.56%,17.61
https://docta.me/doctors?specialtyIds=8&lang=sr-cyrl,1,18,5.56%,23.61
https://docta.me/doctors/450?lang=sr-cyrl,1,17,5.88%,6.35
https://docta.me/doctors/734,1,17,5.88%,6.82
https://docta.me/doctors?specialtyIds=9&languageIds=1&cityIds=1&lang=sr-cyrl,1,17,5.88%,8.12
https://docta.me/doctors?specialtyIds=25&cityIds=1,1,17,5.88%,8.24
https://docta.me/clinics/80?lang=en,1,17,5.88%,8.71
https://docta.me/doctors?specialtyIds=39&cityIds=7,1,17,5.88%,8.71
https://docta.me/doctors?specialtyIds=15&cityIds=4,1,17,5.88%,8.94
https://docta.me/doctors?specialtyIds=17&lang=ru,1,17,5.88%,9.18
https://docta.me/doctors?specialtyIds=12&cityIds=2,1,17,5.88%,9.35
https://docta.me/doctors?specialtyIds=49&cityIds=1,1,17,5.88%,9.59
https://docta.me/doctors?clinicIds=29&lang=sr-cyrl,1,17,5.88%,12.65
https://docta.me/doctors?specialtyIds=9&languageIds=3&cityIds=1,1,17,5.88%,12.82
https://docta.me/doctors?specialtyIds=12&languageIds=3&cityIds=1,1,17,5.88%,14.35
https://docta.me/clinics/83,1,17,5.88%,14.41
https://docta.me/doctors?specialtyIds=44&languageIds=1,1,17,5.88%,14.53
https://docta.me/doctors/101,1,17,5.88%,14.88
https://docta.me/doctors?specialtyIds=14&lang=sr-cyrl,1,17,5.88%,15.29
https://docta.me/clinics/70?lang=ru,1,17,5.88%,19.65
https://docta.me/clinics/29?lang=ru,1,17,5.88%,27.41
https://docta.me/doctors/407,1,16,6.25%,5.75
https://docta.me/doctors?specialtyIds=44&cityIds=4&lang=en,1,16,6.25%,5.88
https://docta.me/doctors/754?lang=sr-cyrl,1,16,6.25%,5.94
https://docta.me/doctors?specialtyIds=16&lang=en,1,16,6.25%,6.44
https://docta.me/doctors?specialtyIds=40&cityIds=1,1,16,6.25%,7.19
https://docta.me/doctors?specialtyIds=37&cityIds=1,1,16,6.25%,7.31
https://docta.me/doctors/330?lang=ru,1,16,6.25%,7.44
https://docta.me/doctors?specialtyIds=38&languageIds=1,1,16,6.25%,7.44
https://docta.me/doctors?specialtyIds=31&cityIds=1&lang=sr-cyrl,1,16,6.25%,8
https://docta.me/clinics/17?lang=en,1,16,6.25%,8.5
https://docta.me/services?clinicIds=48,1,16,6.25%,8.94
https://docta.me/doctors?specialtyIds=25,1,16,6.25%,9.62
https://docta.me/doctors/719?lang=sr-cyrl,1,16,6.25%,9.69
https://docta.me/doctors?clinicIds=65&lang=ru,1,16,6.25%,10.06
https://docta.me/clinics/54?lang=tr,1,16,6.25%,11.12
https://docta.me/doctors?clinicIds=59&lang=sr-cyrl,1,16,6.25%,13.94
https://docta.me/doctors?specialtyIds=47&languageIds=1,1,16,6.25%,17.12
https://docta.me/clinics/milmedika-niksic,1,16,6.25%,22.12
https://docta.me/doctors?specialtyIds=11&languageIds=1&cityIds=7&lang=sr-cyrl,1,15,6.67%,5.67
https://docta.me/doctors?specialtyIds=17&languageIds=1&lang=en,1,15,6.67%,7.53
https://docta.me/doctors?clinicIds=35&lang=en,1,15,6.67%,8.33
https://docta.me/clinics?cityIds=7,1,15,6.67%,8.73
https://docta.me/doctors?specialtyIds=12&cityIds=8&lang=en,1,15,6.67%,8.93
https://docta.me/doctors/333?lang=sr-cyrl,1,15,6.67%,9.4
https://docta.me/doctors/718?lang=sr-cyrl,1,15,6.67%,9.53
https://docta.me/doctors?specialtyIds=6&cityIds=2&lang=en,1,15,6.67%,9.93
https://docta.me/doctors/26,1,15,6.67%,12.07
https://docta.me/doctors?specialtyIds=10&languageIds=1&cityIds=6,1,15,6.67%,12.4
https://docta.me/doctors?specialtyIds=22&lang=sr-cyrl,1,15,6.67%,16.87
https://docta.me/doctors?specialtyIds=78&languageIds=3&cityIds=1&lang=en,1,15,6.67%,26.67
https://docta.me/clinics/20,1,14,7.14%,1.36
https://docta.me/doctors/443?lang=sr-cyrl,1,14,7.14%,7
https://docta.me/doctors?specialtyIds=8&languageIds=1&cityIds=6&lang=ru,1,14,7.14%,7.14
https://docta.me/doctors/382?lang=sr-cyrl,1,14,7.14%,7.79
https://docta.me/doctors?specialtyIds=11&cityIds=4&lang=sr-cyrl,1,14,7.14%,7.86
https://docta.me/doctors?specialtyIds=3&languageIds=1&cityIds=1&lang=en,1,14,7.14%,8.29
https://docta.me/doctors?clinicIds=48&lang=sr-cyrl,1,14,7.14%,8.86
https://docta.me/doctors/595,1,14,7.14%,9.21
https://docta.me/doctors?specialtyIds=45&lang=sr-cyrl,1,14,7.14%,9.57
https://docta.me/doctors?specialtyIds=82&cityIds=1,1,14,7.14%,9.57
https://docta.me/doctors?specialtyIds=1&cityIds=5,1,14,7.14%,10.79
https://docta.me/doctors?specialtyIds=71&languageIds=1,1,14,7.14%,12.07
https://docta.me/doctors/41?lang=sr-cyrl,1,14,7.14%,13.93
https://docta.me/doctors?specialtyIds=34&languageIds=3&cityIds=1,1,14,7.14%,14
https://docta.me/doctors?specialtyIds=20,1,14,7.14%,14.43
https://docta.me/doctors/85,1,14,7.14%,14.64
https://docta.me/doctors?specialtyIds=12&languageIds=1&cityIds=8,1,14,7.14%,28.36
https://docta.me/doctors/600?lang=de,1,14,7.14%,29.5
https://docta.me/doctors?specialtyIds=7&languageIds=3&cityIds=1&lang=en,1,13,7.69%,5.15
https://docta.me/doctors?specialtyIds=45&languageIds=1&cityIds=7,1,13,7.69%,6.46
https://docta.me/doctors?specialtyIds=37,1,13,7.69%,6.69
https://docta.me/doctors?specialtyIds=16&languageIds=1&cityIds=4,1,13,7.69%,6.92
https://docta.me/doctors?specialtyIds=34&languageIds=2,1,13,7.69%,7.08
https://docta.me/doctors?clinicIds=16,1,13,7.69%,7.15
https://docta.me/doctors/461,1,13,7.69%,7.46
https://docta.me/doctors?specialtyIds=6&cityIds=1&lang=ru,1,13,7.69%,8.08
https://docta.me/doctors?specialtyIds=4&cityIds=1&lang=en,1,13,7.69%,8.62
https://docta.me/doctors?specialtyIds=23&languageIds=1&cityIds=1,1,13,7.69%,8.77
https://docta.me/doctors/594,1,13,7.69%,8.85
https://docta.me/doctors/60,1,13,7.69%,9.08
https://docta.me/doctors?specialtyIds=18&lang=sr-cyrl,1,13,7.69%,9.15
https://docta.me/doctors?specialtyIds=11&languageIds=3&cityIds=7&lang=en,1,13,7.69%,9.31
https://docta.me/doctors?specialtyIds=12&languageIds=1&lang=sr-cyrl,1,13,7.69%,9.38
https://docta.me/doctors?languageIds=2&cityIds=8,1,13,7.69%,9.46
https://docta.me/doctors?specialtyIds=5&cityIds=3&lang=ru,1,13,7.69%,9.54
https://docta.me/doctors?clinicIds=35&lang=sr-cyrl,1,13,7.69%,10.62
https://docta.me/doctors?specialtyIds=1&languageIds=2&cityIds=1,1,13,7.69%,12.46
https://docta.me/doctors?clinicIds=42,1,13,7.69%,14
https://docta.me/doctors?specialtyIds=87&languageIds=2,1,13,7.69%,15.08
https://docta.me/clinics/36?lang=ru,1,12,8.33%,3.42
https://docta.me/doctors/765?lang=sr-cyrl,1,12,8.33%,5.92
https://docta.me/doctors/444?lang=sr-cyrl,1,12,8.33%,6.83
https://docta.me/doctors?specialtyIds=48&cityIds=3&lang=ru,1,12,8.33%,7.17
https://docta.me/doctors/740?lang=sr-cyrl,1,12,8.33%,7.58
https://docta.me/doctors/785?lang=sr-cyrl,1,12,8.33%,7.58
https://docta.me/doctors/664,1,12,8.33%,8.67
https://docta.me/doctors?languageIds=1,1,12,8.33%,8.75
https://docta.me/doctors?specialtyIds=2&languageIds=1&cityIds=3,1,12,8.33%,9.25
https://docta.me/doctors?specialtyIds=4&cityIds=5,1,12,8.33%,9.42
https://docta.me/doctors?specialtyIds=43&cityIds=1,1,12,8.33%,9.42
https://docta.me/doctors?specialtyIds=52&languageIds=2&cityIds=1,1,12,8.33%,9.92
https://docta.me/clinics/89,1,12,8.33%,10.33
https://docta.me/doctors?specialtyIds=14&languageIds=1&cityIds=2,1,12,8.33%,11.25
https://docta.me/doctors?specialtyIds=73,1,12,8.33%,11.25
https://docta.me/doctors/632,1,12,8.33%,11.33
https://docta.me/doctors?specialtyIds=78&lang=tr,1,12,8.33%,12.08
https://docta.me/doctors?specialtyIds=81&languageIds=1,1,12,8.33%,12.17
https://docta.me/doctors?specialtyIds=4&languageIds=1&cityIds=7,1,12,8.33%,12.42
https://docta.me/doctors?specialtyIds=8&languageIds=1&lang=en,1,12,8.33%,13.67
https://docta.me/doctors?specialtyIds=25&lang=sr-cyrl,1,12,8.33%,13.75
https://docta.me/doctors?specialtyIds=52&languageIds=1,1,12,8.33%,14.17
https://docta.me/doctors/610,1,12,8.33%,15.33
https://docta.me/doctors?specialtyIds=5&languageIds=1&cityIds=7&lang=sr-cyrl,1,12,8.33%,15.33
https://docta.me/services/1541,1,12,8.33%,35
https://docta.me/doctors?specialtyIds=17&languageIds=2&cityIds=1&lang=ru,1,11,9.09%,4.82
https://docta.me/medications?lang=ru,1,11,9.09%,5
https://docta.me/doctors/678,1,11,9.09%,6
https://docta.me/doctors/733,1,11,9.09%,6.45
https://docta.me/doctors?specialtyIds=15&languageIds=1&cityIds=1&lang=sr-cyrl,1,11,9.09%,7
https://docta.me/doctors?specialtyIds=82&languageIds=2&cityIds=1&lang=ru,1,11,9.09%,7
https://docta.me/doctors?specialtyIds=13&cityIds=1&lang=tr,1,11,9.09%,7.27
https://docta.me/doctors?clinicIds=30&lang=ru,1,11,9.09%,7.55
https://docta.me/doctors?specialtyIds=15&languageIds=1&cityIds=4,1,11,9.09%,7.91
https://docta.me/doctors?specialtyIds=7&cityIds=7&lang=sr-cyrl,1,11,9.09%,8.18
https://docta.me/doctors/458,1,11,9.09%,8.36
https://docta.me/doctors?clinicIds=46,1,11,9.09%,8.36
https://docta.me/doctors?specialtyIds=46&lang=sr-cyrl,1,11,9.09%,8.45
https://docta.me/doctors/121,1,11,9.09%,8.91
https://docta.me/doctors?specialtyIds=46&lang=en,1,11,9.09%,9.36
https://docta.me/doctors/850,1,11,9.09%,9.55
https://docta.me/clinics/69?lang=en,1,11,9.09%,9.91
https://docta.me/doctors/835?lang=sr-cyrl,1,11,9.09%,10.18
https://docta.me/clinics/72?lang=tr,1,11,9.09%,10.55
https://docta.me/doctors?specialtyIds=13&lang=sr-cyrl,1,11,9.09%,10.55
https://docta.me/doctors?specialtyIds=42&languageIds=1,1,11,9.09%,11.64
https://docta.me/doctors?specialtyIds=16&cityIds=7&lang=sr-cyrl,1,11,9.09%,11.73
https://docta.me/doctors?specialtyIds=2&cityIds=6&lang=sr-cyrl,1,11,9.09%,12.64
https://docta.me/doctors?specialtyIds=8&languageIds=1&lang=sr-cyrl,1,11,9.09%,13.27
https://docta.me/doctors?specialtyIds=39&languageIds=1,1,11,9.09%,14.82
https://docta.me/doctors?specialtyIds=13&languageIds=1&cityIds=3&lang=sr-cyrl,1,11,9.09%,16.09
https://docta.me/clinics/72?lang=sr-cyrl,1,11,9.09%,17.45
https://docta.me/doctors?specialtyIds=76&languageIds=1&cityIds=1&lang=ru,1,11,9.09%,21.09
https://docta.me/doctors?clinicIds=62&lang=sr-cyrl,1,11,9.09%,25.45
https://docta.me/doctors?specialtyIds=17&languageIds=3&cityIds=7&lang=ru,1,10,10%,6.6
https://docta.me/doctors?specialtyIds=80&cityIds=1&lang=en,1,10,10%,6.6
https://docta.me/doctors?clinicIds=39&lang=en,1,10,10%,6.7
https://docta.me/doctors?specialtyIds=76&lang=ru,1,10,10%,7.2
